articulo,productos_afectados,cat_antes(ids),cat_despues,especialidades,genero_migrado,accion
SP0040-009,11,7,Protecciones,futbol,0,DRY-RUN
SP0040-101,14,7,Protecciones,futbol,0,DRY-RUN
SP0040-419,8,7,Protecciones,futbol,0,DRY-RUN
9.20.00,3,7,Protecciones,descanso,0,DRY-RUN
52033212211,5,7,Guantes,training,0,DRY-RUN
111201,2,7,Protecciones,descanso,0,DRY-RUN
RODILLERA PROTEC,2,7,Protecciones,voley,0,DRY-RUN
WILAW705,2,7,Protecciones,descanso,0,DRY-RUN
PROTECTOR GENITAL,5,7;42,Protecciones,descanso,0,DRY-RUN
521520013,3,7,Protecciones,descanso,0,DRY-RUN
5215100011015,4,7,Protecciones,descanso,0,DRY-RUN
521510002,5,7,Protecciones,descanso,0,DRY-RUN
PH0642,3,7,Protecciones,descanso,0,DRY-RUN
520170340,7,7,Trajes de Baño,natacion,0,DRY-RUN
6446R,6,7,Protecciones,descanso,0,DRY-RUN
521420030,5,7,Protecciones,descanso,0,DRY-RUN
521510001,3,7,Protecciones,descanso,0,DRY-RUN
SPACONE001,2,7,Protecciones,descanso,0,DRY-RUN
841212122360,3,7,Protecciones,descanso,0,DRY-RUN
MA3058,4,7,Poleras y Camisetas,futbol,0,DRY-RUN
SPACOGR002,4,7,Protecciones,descanso,0,DRY-RUN
8802,5,1;7;11,Protecciones,descanso,0,DRY-RUN
PROTECTOR BUSTO,2,7,Protecciones,descanso,0,DRY-RUN
463R,6,7,Protecciones,descanso,0,DRY-RUN
F0004,5,7,Guantes,training,0,DRY-RUN
6566,2,7,Protecciones,descanso,0,DRY-RUN
5208320402787,2,7,Guantes,descanso,0,DRY-RUN
5208320402800,2,7,Guantes,descanso,0,DRY-RUN
6500R,4,7,Protecciones,descanso,0,DRY-RUN
6500RD,2,7,Protecciones,descanso,0,DRY-RUN
96502,3,7,Protecciones,descanso,0,DRY-RUN
F0009,4,7,Guantes,descanso,0,DRY-RUN
009283545994,3,7,Guantes,artesm,0,DRY-RUN
