articulo,productos_afectados,cat_antes(ids),cat_despues,especialidades,genero_migrado,accion
SP0040-009,11,7,Protecciones,futbol,0,APPLY
SP0040-101,14,7,Protecciones,futbol,0,APPLY
SP0040-419,8,7,Protecciones,futbol,0,APPLY
9.20.00,3,7,Protecciones,descanso,0,APPLY
52033212211,5,7,Guantes,training,0,APPLY
111201,2,7,Protecciones,descanso,0,APPLY
RODILLERA PROTEC,2,7,Protecciones,voley,0,APPLY
WILAW705,2,7,Protecciones,descanso,0,APPLY
PROTECTOR GENITAL,5,7;42,Protecciones,descanso,0,APPLY
521520013,3,7,Protecciones,descanso,0,APPLY
5215100011015,4,7,Protecciones,descanso,0,APPLY
521510002,5,7,Protecciones,descanso,0,APPLY
PH0642,3,7,Protecciones,descanso,0,APPLY
520170340,7,7,Trajes de Baño,natacion,0,APPLY
6446R,6,7,Protecciones,descanso,0,APPLY
521420030,5,7,Protecciones,descanso,0,APPLY
521510001,3,7,Protecciones,descanso,0,APPLY
SPACONE001,2,7,Protecciones,descanso,0,APPLY
841212122360,3,7,Protecciones,descanso,0,APPLY
MA3058,4,7,Poleras y Camisetas,futbol,0,APPLY
SPACOGR002,4,7,Protecciones,descanso,0,APPLY
8802,5,1;7;11,Protecciones,descanso,0,APPLY
PROTECTOR BUSTO,2,7,Protecciones,descanso,0,APPLY
463R,6,7,Protecciones,descanso,0,APPLY
F0004,5,7,Guantes,training,0,APPLY
6566,2,7,Protecciones,descanso,0,APPLY
5208320402787,2,7,Guantes,descanso,0,APPLY
5208320402800,2,7,Guantes,descanso,0,APPLY
6500R,4,7,Protecciones,descanso,0,APPLY
6500RD,2,7,Protecciones,descanso,0,APPLY
96502,3,7,Protecciones,descanso,0,APPLY
F0009,4,7,Guantes,descanso,0,APPLY
009283545994,3,7,Guantes,artesm,0,APPLY
009283584030,2,7,Guantes,boxeo,0,APPLY
009283584047,2,7,Guantes,boxeo,0,APPLY
009283546014,2,7,Guantes,artesm,0,APPLY
009283546038,3,7,Guantes,artesm,0,APPLY
432R,2,7,Protecciones,descanso,0,APPLY
485R,4,7,Protecciones,descanso,0,APPLY
5208320402817,2,7,Guantes,descanso,0,APPLY
5211501004007,3,7;42,Protecciones,descanso,0,APPLY
009283516826,2,7,Guantes,artesm,0,APPLY
1101075201,2,7,Protecciones,descanso,0,APPLY
110165101,2,7,Protecciones,descanso,0,APPLY
6440R,4,7,Protecciones,descanso,0,APPLY
6566RF,8,7,Protecciones,descanso,0,APPLY
6572,4,7,Protecciones,descanso,0,APPLY
6577R,7,7,Protecciones,descanso,0,APPLY
8411212109552,2,7,Guantes,trekking,0,APPLY
868049025048,2,7,Guantes,trekking,0,APPLY
195R,4,7,Protecciones,descanso,0,APPLY
848049025031,2,7,Guantes,trekking,0,APPLY
5205322,2,7,Protecciones,descanso,0,APPLY
5208200014109,2,7,Protecciones,descanso,0,APPLY
5208200014116,2,7,Protecciones,descanso,0,APPLY
5208320401810,4,7;62,Guantes,descanso,0,APPLY
5208320403814,4,7,Guantes,descanso,0,APPLY
5208320404811,2,7,Guantes,descanso,0,APPLY
521150100,4,7,Protecciones,descanso,0,APPLY
5211501002003,2,7,Protecciones,descanso,0,APPLY
5211501003000,2,7,Protecciones,descanso,0,APPLY
5215100012012,2,7,Protecciones,descanso,0,APPLY
5215100013019,2,7,Protecciones,descanso,0,APPLY
5215200133013,3,7,Protecciones,descanso,0,APPLY
60134845,2,7,Protecciones,descanso,0,APPLY
645R,4,7,Protecciones,descanso,0,APPLY
841212109569,4,7;41,Guantes,trekking,0,APPLY
841212109590,2,7,Guantes,trekking,0,APPLY
841212109606,2,7,Guantes,trekking,0,APPLY
841212109613,2,7,Guantes,trekking,0,APPLY
841212115263,2,7,Guantes,trekking,0,APPLY
841212115270,2,7,Guantes,trekking,0,APPLY
841212122384,3,7,Protecciones,descanso,0,APPLY
841212125118,2,7,Guantes,descanso,0,APPLY
841212125125,2,7,Guantes,descanso,0,APPLY
841212125132,2,7,Guantes,descanso,0,APPLY
841212125149,2,7,Guantes,descanso,0,APPLY
843297104118,3,7,Guantes,descanso,0,APPLY
843297104125,3,7,Guantes,descanso,0,APPLY
848049025030,2,7,Guantes,trekking,0,APPLY
848049025039,2,7,Guantes,trekking,0,APPLY
848049042387,2,7,Guantes,descanso,0,APPLY
848049048474,3,7,Guantes,trekking,0,APPLY
848049048481,3,7,Guantes,trekking,0,APPLY
858049046981,2,7,Guantes,training,0,APPLY
86804902503,1,7,Guantes,trekking,0,APPLY
868049025046,2,7,Guantes,trekking,0,APPLY
868049025047,2,7,Guantes,trekking,0,APPLY
868049025053,2,7,Guantes,trekking,0,APPLY
868049025054,2,7,Guantes,trekking,0,APPLY
868049025055,2,7,Guantes,trekking,0,APPLY
885652008068,2,7,Guantes,training,0,APPLY
885652008075,2,7,Guantes,training,0,APPLY
885652008082,3,7,Guantes,training,0,APPLY
885652008099,2,7,Guantes,training,0,APPLY
905000,2,7,Protecciones,descanso,0,APPLY
905002,2,7,Protecciones,descanso,0,APPLY
95000,3,7,Protecciones,descanso,0,APPLY
95002,3,7,Protecciones,descanso,0,APPLY
95504,5,7,Protecciones,descanso,0,APPLY
96500,5,7,Protecciones,descanso,0,APPLY
BI5439,2,7,Protecciones,descanso,0,APPLY
CANILLERA 28065,2,7,Protecciones,futbol,0,APPLY
CANILLERA 28066,2,7,Protecciones,futbol,0,APPLY
CANILLERA 28067,2,7,Protecciones,futbol,0,APPLY
CR1804,3,7,Protecciones,descanso,0,APPLY
CW5561,6,7;9,Protecciones,futbol,0,APPLY
E12026,2,7,Protecciones,descanso,0,APPLY
F0007,3,7,Guantes,training,0,APPLY
F0008,5,7,Guantes,descanso,0,APPLY
G0007,2,7,Guantes,descanso,0,APPLY
MA29740,2,7,Guantes,descanso,0,APPLY
MA29748,3,7,Guantes,descanso,0,APPLY
MA30579,2,7,Poleras y Camisetas,futbol,0,APPLY
MA3350,2,7,Poleras y Camisetas,futbol,0,APPLY
MA3351,2,7,Poleras y Camisetas,futbol,0,APPLY
MUUK0051,2,7,Protecciones,descanso,0,APPLY
MUUK364,2,7,Protecciones,descanso,0,APPLY
PANTALON MOYA,6,7,Buzos y Pantalones,futbol,0,APPLY
RE004,4,7,Poleras y Camisetas,futbol,0,APPLY
RS02,2,7,Guantes,descanso,0,APPLY
SP2120-095,3,7,Guantes,futbol,0,APPLY
SP2120-356,2,7,Guantes,futbol,0,APPLY
V.06.02,2,7,Protecciones,training,0,APPLY
V0609,2,7,Protecciones,descanso,0,APPLY
041727 01,2,1,Guantes,urbano,0,APPLY
1258568-659,2,1,Poleras y Camisetas,training,0,APPLY
1258568-668,2,1,Poleras y Camisetas,training,0,APPLY
AR1284-100,1,1,Gorros,urbano,0,APPLY
1258568-001,2,1,Poleras y Camisetas,training,0,APPLY
1305036-581,3,1,Gorros,urbano,0,APPLY
1345822-012,4,1,Gorros,urbano,0,APPLY
5207000119816,2,1,Guantes,futbol,0,APPLY
5207000169811,2,1,Guantes,futbol,0,APPLY
5207000179810,2,1,Guantes,futbol,0,APPLY
BV4122-010,2,1,Chaquetas y Polerones,urbano,0,APPLY
CJ5332-070,1,1,Poleras y Camisetas,running,0,APPLY
CK0182-010,1,1,Chaquetas y Polerones,running,0,APPLY
DJ1391-010,2,1,Poleras y Camisetas,urbano,0,APPLY
DJ7897-411,2,1,Poleras y Camisetas,futbol,0,APPLY
EX2021,2,1,Poleras y Camisetas,futbol,0,APPLY
F.00.11,6,1,Guantes,training,0,APPLY
F11L00410N-168,2,1,Poleras y Camisetas,urbano,0,APPLY
F11L0041N-1587,2,1,Poleras y Camisetas,urbano,0,APPLY
F11L174N-160,2,1,Poleras y Camisetas,urbano,0,APPLY
F11L244N-168,2,1,Poleras y Camisetas,urbano,0,APPLY
F11L244N-185,2,1,Poleras y Camisetas,urbano,0,APPLY
F11L244N-2040,2,1,Poleras y Camisetas,urbano,0,APPLY
GI7631,2,1,Guantes,training,0,APPLY
HT4815,2,1,Gorros,urbano,0,APPLY
