style_color,style,color,familia,gender,srp,whs,pares_grid,PA01,PA02,PA03,PA04,NICK1,total_tiendas,orden_2026_1,orden_2026_2
150537-BKNT,150537,BKNT,D'LITES,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,0.0
150537-NTGY,150537,NTGY,D'LITES,WOMEN,72990.0,40550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.0,0.0
150703-BBK,150703,BBK,D'LITES 6.0,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.0
150703-GRY,150703,GRY,D'LITES 6.0,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1706.0
150703-NAT,150703,NAT,D'LITES 6.0,WOMEN,69990.0,38900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.0
11930-BKW,11930,BKW,D'LITES,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,8963.0,4621.0
11930-NVW,11930,NVW,D'LITES,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11949-BBK,11949,BBK,D'LITES,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12245.0,7691.0
11949-WSL,11949,WSL,D'LITES,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,11942.0,6439.0
149807-NAT,149807,NAT,D'LITES,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
149807-WHT,149807,WHT,D'LITES,WOMEN,64990.0,36100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.0
150241-OWBR,150241,OWBR,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791.0
150241-WLPK,150241,WLPK,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7643.0
150725-NTBR,150725,NTBR,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,0.0
150725-NTGR,150725,NTGR,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110.0,0.0
150877-BLK,150877,BLK,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,6719.0
150877-WHT,150877,WHT,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,5694.0
150965-LTPK,150965,LTPK,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150965-NAT,150965,NAT,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150965-WHT,150965,WHT,D'LITES,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150520-NTMT,150520,NTMT,D'LITES 5.0,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0
150520-NTBL,150520,NTBL,D'LITES 5.0,WOMEN,59990.0,33350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.0,2817.0
