marca_catalogo,articulo_catalogo,estado,n_productos_bd,marcas_bd_encontradas,sucursales,ejemplo_descripcion,primera_creacion
,37-GALLYNEW-1,SIN MATCH,0,,,,
,37-JANE-1,SIN MATCH,0,,,,
,37-JETUR-1,SIN MATCH,0,,,,
,37-PIERCE-1,SIN MATCH,0,,,,
,X,SIN MATCH,0,,,,
ALQUIMIA,3024,SIN MATCH,0,,,,
ALQUIMIA,3041,MARCA+ART,5,ALQUIMIA,EDEL;PAO1;PAO2;PAO3;PAO4,ZAPATO,2025-01-20
ALQUIMIA,3048,SIN MATCH,0,,,,
ALQUIMIA,3097,SIN MATCH,0,,,,
ALQUIMIA,3101,MARCA+ART,6,ALQUIMIA,EDEL;PAO2;PAO3,ZAPATO,2024-09-16
ALQUIMIA,3128,SIN MATCH,0,,,,
ALQUIMIA,3138,SIN MATCH,0,,,,
ALQUIMIA,3209,SIN MATCH,0,,,,
ALQUIMIA,3360,MARCA+ART,6,ALQUIMIA,EDEL;PAO3;PAO4,VESTIR,2023-10-16
ALQUIMIA,3364,MARCA+ART,4,ALQUIMIA,EDEL;PAO1,VESTIR,2019-08-19
ALQUIMIA,4458,SIN MATCH,0,,,,
ALQUIMIA,4473,SIN MATCH,0,,,,
ALQUIMIA,4561,SIN MATCH,0,,,,
ALQUIMIA,4856,SOLO ART,2,ADIDAS;NICOLE ANDREA,EDEL,F50 LESTO,2026-04-15
ALQUIMIA,4861,SOLO ART,1,DRIBLING,EDEL,MEDIA REUSCH,2026-04-15
ALQUIMIA,4872,SOLO ART,4,BAMBOO,EDEL;PAO2,BOTA,2024-03-25
ALQUIMIA,5871,SIN MATCH,0,,,,
BAMBOO,1809,SOLO ART,5,CIRCA;SKECHERS,EDEL;NICK2,VULC YOUTH,2024-04-23
BAMBOO,1816,MARCA+ART,7,BAMBOO,EDEL;PAO2;PAO3;PAO4,BOTIN,2024-03-25
BAMBOO,1824,SOLO ART,2,NIKE;SKECHERS,EDEL,BALON T90,2026-04-15
BAMBOO,2920,SIN MATCH,0,,,,
CHALADA,1-ARIZONA-1,SIN MATCH,0,,,,
CHALADA,1-ARMY-50,MARCA+ART,5,CHALADA,EDEL;PAO2;PAO3,BOTIN,2022-03-21
CHALADA,1-BAMBINA-21,SIN MATCH,0,,,,
CHALADA,1-BAMBINA-23,MARCA+ART,3,CHALADA,EDEL;PAO3;PAO4,ZAPATILLA,2024-02-19
CHALADA,1-BAMBINA-26,SIN MATCH,0,,,,
CHALADA,1-BAMBINA-27,SIN MATCH,0,,,,
CHALADA,1-BAMBINA-3,MARCA+ART,10,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,BOTIN,2018-09-05
CHALADA,1-BAMBINA-4,MARCA+ART,4,CHALADA,EDEL;PAO2;PAO3;PAO4,BOTIN,2025-02-17
CHALADA,1-BAMBINA-5,MARCA+ART,5,CHALADA,EDEL;PAO3;PAO4,BOTIN,2019-03-13
CHALADA,1-BIRY-2,SIN MATCH,0,,,,
CHALADA,1-BOLDEN-5,SOLO ART,9,FUNWAY,EDEL;PAO1;PAO2;PAO3;PAO4,ZAPATILLA,2022-03-21
CHALADA,1-ELLA-1,SIN MATCH,0,,,,
CHALADA,1-ELLA-11,SIN MATCH,0,,,,
CHALADA,1-ELLA-15,SIN MATCH,0,,,,
CHALADA,1-ELLA-17,SIN MATCH,0,,,,
CHALADA,1-ELLA-19,SIN MATCH,0,,,,
CHALADA,1-ELLA-22,SIN MATCH,0,,,,
CHALADA,1-EVA-1,SIN MATCH,0,,,,
CHALADA,1-GALLY-1,MARCA+ART,2,CHALADA,EDEL;PAO2,BOTA,2024-03-11
CHALADA,1-JORDI-1,MARCA+ART,5,CHALADA,EDEL;PAO3;PAO4,BOTIN,2025-02-17
CHALADA,1-JORDI-10,SIN MATCH,0,,,,
CHALADA,1-JORDI-11,SIN MATCH,0,,,,
CHALADA,1-JORDI-14,SIN MATCH,0,,,,
CHALADA,1-JORDI-2,MARCA+ART,4,CHALADA,EDEL;PAO4,BOTIN,2025-02-17
CHALADA,1-JORKY-5,SIN MATCH,0,,,,
CHALADA,1-JORKY-6,SIN MATCH,0,,,,
CHALADA,1-KREP-1,SIN MATCH,0,,,,
CHALADA,1-KREPIN-1,SIN MATCH,0,,,,
CHALADA,1-KREPIN-2,SIN MATCH,0,,,,
CHALADA,1-KREPIN-3,SIN MATCH,0,,,,
CHALADA,1-LENNON-1,SIN MATCH,0,,,,
CHALADA,1-LENNON-2,SIN MATCH,0,,,,
CHALADA,1-PLATAFORM-7,MARCA+ART,10,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,BOTA PLATAFORM-7,2018-08-20
CHALADA,1-PLATAFORM-8,MARCA+ART,12,CHALADA,EDEL;PAO1;PAO2;PAO3;PAO4,ZAPATO,2018-08-29
