archivo,formato,proveedor,marca,seccion,articulo,color,talla_rango,precio_lista,precio_publico,pares,pa02,pa03,pa04,factura_anotada,fila
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9257-7,BROWN,35 - 40,17990,,,,,,,26
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9257-7,BLACK,,,,,,,,,27
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA11-2501,BROWN,35 - 40,16990,,,,,,,38
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA11-2501,BLACK,,,,,,,,,42
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9286-21,BROWN,35 - 40,17990,,,,,,,50
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9286-21,BLACK,,,,,,,,,56
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9628-51,BLACK,35 - 40,17990,,,,,,,64
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9628-51,WINE,,,,,,,,,65
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,229628-19,BROWN,35 - 40,17990,,,,,,,79
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,229628-19,BLACK,,,,,,,,,80
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,XCA91102,BLACK,35 - 40,17990,,,,,,,91
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,XCA91101,BLACK,35 - 40,17990,,,12,12,12,,103
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,XCA91101,TAN,,,,,,,,,104
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWF2503276,BLACK,35 - 40,15990,,,,,,,118
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWF2503276,BROWN,,,,,,,,,124
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWF2503276,SILVER,,,,,,,,,129
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWF2503278,BROWN,35 - 40,1590,,,,,,,136
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWF2503278,BLACK,,,,,,,,,137
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DZA91103,BROWN,35 - 40,16990,,,,,,,148
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DZA91103,BLACK,,,,,,12/FACT 53030,,,149
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DZA91111,BROWN,35 - 40,16990,,,,,,,160
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DZA91111,BLACK,,,,,,12,,,161
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,9291-12,BLACK,35 - 40,17990,,,12,12,,,172
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,1216-973,BLACK,35 - 40,16990,,,12/FACT 53030,12/FACT 53030,12/FACT 53030,,184
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,TAD96005,BROWN,35 - 40,16990,,,,,,,197
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,TAD96005,BLACK,,,,,12,12,,,198
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,229108-6,BROWN,35 - 40,17490,,,,,,,211
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,229108-6,BLACK,,,,,,,,,212
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DCA91125,BROWN,35 - 40,15990,,,,,,,223
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,DCA91125,BLACK,,,,,,,,,227
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-136,BLACK,35 - 40,16990,,,,,,,237
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-136,PRINT BLACK,,,,,,,,,238
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-165,BROWN,35 - 40,16990,,,,,,,252
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-165,BLACK,,,,,,,,,253
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,88011-187,BROWN,35 - 40,17990,,,,,,,264
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,88011-187,BLACK,,,,,,,,,265
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BROWN,35 - 40,16990,,,,,,,276
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BLACK,,,,,,,,,280
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BLACK,35 - 40,,,,,,,,291
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BROWN,,,,,,,,,292
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BLACK,35 - 40,,,,,,,,300
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BROWN,,,,,,,,,301
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BLACK,35 - 40,,,,,,,,309
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BROWN,,,,,,,,,310
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BLACK,35 - 40,,,,,,,,318
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BROWN,,,,,,,,,319
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BLACK,35 - 40,,,,,,,,327
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2332-151,BROWN,,,,,,,,,328
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,18320-5C,BLACK,35 - 40,15990,,,,,,,340
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,18320-5C,CHAROL,,,,,,,,,341
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,18320-5C,TAUPE,,,,,,,,,342
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2333-27,BROWN,35 - 40,16990,,,,,,,349
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2333-27,BLACK,,,,,,,,,350
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSDX1103,BROWN,35 - 40,14990,,,12,12,12,,361
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSDX1103,BLACK,,,,,12,12,12,,362
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSDX1103,Dorette black,,,,,,,,,367
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2317-13,DARK RED,35 - 40,14990,,,,,,,373
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2317-13,BLACK,,,,,,,,,374
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2317-13,BROWN,,,,,,,,,381
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2317-13,CHAROL,35 - 40,14990,,,,,12/FACT 53030,,388
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,2317-13,TAUPE,,,,,,,,,389
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,60126-29,BROWN,35 - 40,17990,,,,,,,400
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,60126-29,BLACK,,,,,,,,,404
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSD91219,BLACK,35 - 40,16990,,,12,12,12,,412
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,BSD91219,BROWN,,,,,,,,,416
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,NV,,NEW WALK,INVIERNO 2026,KWLA612506,BROWN,35 - 40,17490,,,,,,,424
