archivo,hoja,tienda,fila,articulo,texto,cantidad,folio,fecha,estado,no_despachar,color_celda
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,103,XCA91101,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,103,XCA91101,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,103,XCA91101,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,149,MH,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,161,C,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,172,9291-12,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,172,9291-12,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,184,1216-973,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,184,1216-973,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,184,1216-973,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,198,,12,12,,,ANULADO,,FFFF0000
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,198,,12,12,,,ANULADO,,FFFF0000
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,361,BSDX1103,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,361,BSDX1103,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,361,BSDX1103,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,362,,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,362,,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,362,,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,388,2317-13,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,412,BSD91219,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,412,BSD91219,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,412,BSD91219,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,472,KWLA762512,12/FACT 53145,12,53145,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,472,KWLA762512,12/FACT 53145,12,53145,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,476,,12/FACT 53145,12,53145,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,476,,12/FACT 53145,12,53145,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,485,,12,12,,,ANULADO,,FFFF0000
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,485,,12,12,,,ANULADO,,FFFF0000
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,565,H,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,565,H,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,565,H,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,610,BSDX1111A,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,610,BSDX1111A,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,610,BSDX1111A,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,614,H,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,614,H,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,614,H,12/FACT 53030,12,53030,,LLEGO,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA02,622,9159-13,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA03,622,9159-13,12,12,,,PENDIENTE,,FFFFFF00
2006 COLECCION NEWWALK BOTAS Y BOTINES  INV 2026   18 8 025.xlsx,Hoja1,PA04,622,9159-13,12,12,,,PENDIENTE,,FFFFFF00
