accion,marca,sucursal,base,color,mantener_id,mantener_codigo,vaciar_id,vaciar_codigo,stock_a_mover,ventas26_mantener,ventas26_vaciar
FUSIONAR,ALQUIMIA,EDEL,3013,NEGRO,29571,3013-02,29566,3013,0,0,0
FUSIONAR,ALQUIMIA,EDEL,3054,NEGRO,31909,3054,31925,3054-02,0,0,0
FUSIONAR,ALQUIMIA,EDEL,3073,NEGRO,32056,3073-02,32038,3073,0,0,0
FUSIONAR,ALQUIMIA,EDEL,3334,CHAROL,33702,3334,33735,3334-20,0,0,0
FUSIONAR,ALQUIMIA,EDEL,3334,NEGRO,33707,3334,33730,3334-02,0,0,0
FUSIONAR,ALQUIMIA,EDEL,3624,NEGRO,35481,3624 02,35476,3624,0,0,0
FUSIONAR,ALQUIMIA,EDEL,4170,NEGRO,41209,4170 02,41205,4170,0,0,0
FUSIONAR,ALQUIMIA,EDEL,4191,NEGRO,41314,4191-02,41306,4191,0,0,0
FUSIONAR,ALQUIMIA,EDEL,4757,CARAMELO,43723,4757-03,43719,4757,0,0,0
FUSIONAR,ALQUIMIA,EDEL,5969,NEGRO,53199,5969-02,53192,5969,0,0,0
FUSIONAR,ALQUIMIA,EDEL,809,BLANCO,64825,8090,64802,809,0,0,0
FUSIONAR,ALQUIMIA,EDEL,9026,NEGRO,70772,9026-02,70765,9026,0,0,0
FUSIONAR,ALQUIMIA,PAO1,3054,NEGRO,31926,3054-02,31910,3054,4,7,4
FUSIONAR,ALQUIMIA,PAO1,3073,NEGRO,32039,3073,32057,3073-02,2,2,1
FUSIONAR,ALQUIMIA,PAO1,3334,CHAROL,33736,3334-20,33703,3334,3,6,1
FUSIONAR,ALQUIMIA,PAO1,3334,NEGRO,33708,3334,33731,3334-02,0,9,1
FUSIONAR,ALQUIMIA,PAO2,3054,NEGRO,31927,3054-02,31911,3054,18,5,5
FUSIONAR,ALQUIMIA,PAO2,3073,NEGRO,32058,3073-02,32040,3073,40,8,1
FUSIONAR,ALQUIMIA,PAO2,3334,CHAROL,33704,3334,33737,3334-20,0,6,1
FUSIONAR,ALQUIMIA,PAO2,3334,NEGRO,33709,3334,33732,3334-02,4,18,9
FUSIONAR,ALQUIMIA,PAO2,4170,NEGRO,41206,4170,41211,4170 02,0,0,0
FUSIONAR,ALQUIMIA,PAO2,4191,NEGRO,41315,4191-02,41307,4191,1,5,1
FUSIONAR,ALQUIMIA,PAO2,9026,NEGRO,70773,9026-02,70766,9026,5,0,0
FUSIONAR,ALQUIMIA,PAO3,3054,NEGRO,31912,3054,31928,3054-02,73,8,4
FUSIONAR,ALQUIMIA,PAO3,3073,NEGRO,32059,3073-02,32041,3073,48,2,1
FUSIONAR,ALQUIMIA,PAO3,3334,CHAROL,33705,3334,33738,3334-20,2,3,3
FUSIONAR,ALQUIMIA,PAO3,3334,NEGRO,33733,3334-02,33710,3334,14,17,5
FUSIONAR,ALQUIMIA,PAO3,3624,NEGRO,35482,3624 02,35479,3624,0,0,0
FUSIONAR,ALQUIMIA,PAO3,4170,NEGRO,41207,4170,41212,4170 02,0,0,0
FUSIONAR,ALQUIMIA,PAO3,4191,NEGRO,41316,4191-02,41308,4191,0,3,1
FUSIONAR,ALQUIMIA,PAO3,4757,CARAMELO,43724,4757-03,43720,4757,0,0,0
FUSIONAR,ALQUIMIA,PAO4,3013,NEGRO,29572,3013-02,29569,3013,1,0,0
FUSIONAR,ALQUIMIA,PAO4,3054,NEGRO,31913,3054,31929,3054-02,31,4,3
FUSIONAR,ALQUIMIA,PAO4,3073,NEGRO,32042,3073,32060,3073-02,19,1,0
FUSIONAR,ALQUIMIA,PAO4,3334,CHAROL,33706,3334,33739,3334-20,5,5,4
FUSIONAR,ALQUIMIA,PAO4,3334,NEGRO,33734,3334-02,33711,3334,24,10,8
FUSIONAR,ALQUIMIA,PAO4,3624,NEGRO,35483,3624 02,35480,3624,0,0,0
FUSIONAR,ALQUIMIA,PAO4,4170,NEGRO,41213,4170 02,41208,4170,0,0,0
FUSIONAR,ALQUIMIA,PAO4,4191,NEGRO,41317,4191-02,41309,4191,0,6,0
FUSIONAR,ALQUIMIA,PAO4,9026,NEGRO,70774,9026-02,70768,9026,7,1,1
FUSIONAR,BAMBOO,EDEL,1816,NEGRO,134914,1816-02,18616,1816,0,0,0
FUSIONAR,BAMBOO,EDEL,2026,NEGRO,21448,2026-02,21440,2026,0,0,0
FUSIONAR,BAMBOO,EDEL,2568,BLANCO,26916,2568 01,26906,2568,0,0,0
FUSIONAR,BAMBOO,EDEL,2568,ROSADO,26918,2568 09,26910,2568,0,0,0
FUSIONAR,BAMBOO,EDEL,2574,BLANCO,26973,2574 90,26969,2574 01,0,0,0
FUSIONAR,BAMBOO,EDEL,3622,NEGRO,35454,3622 02,35450,3622,0,0,0
FUSIONAR,BAMBOO,PAO1,2026,NEGRO,21449,2026-02,21441,2026,13,2,2
FUSIONAR,BAMBOO,PAO1,2568,ROSADO,26919,2568 09,26911,2568,0,0,0
FUSIONAR,BAMBOO,PAO1,3622,NEGRO,35451,3622,35455,3622 02,0,0,0
FUSIONAR,BAMBOO,PAO2,1816,NEGRO,134915,1816-02,18617,1816,0,2,0
FUSIONAR,BAMBOO,PAO2,2026,NEGRO,21450,2026-02,21442,2026,12,5,1
FUSIONAR,BAMBOO,PAO2,2568,BLANCO,26917,2568 01,26908,2568,0,0,0
FUSIONAR,BAMBOO,PAO2,2568,ROSADO,26920,2568 09,26912,2568,0,0,0
FUSIONAR,BAMBOO,PAO3,1816,NEGRO,134916,1816-02,18618,1816,1,3,0
FUSIONAR,BAMBOO,PAO3,2026,NEGRO,21451,2026-02,21443,2026,12,7,1
FUSIONAR,BAMBOO,PAO3,2568,ROSADO,26921,2568 09,26913,2568,0,0,0
FUSIONAR,BAMBOO,PAO4,1816,NEGRO,134917,1816-02,18619,1816,0,1,0
FUSIONAR,BAMBOO,PAO4,2026,NEGRO,21452,2026-02,21444,2026,6,3,0
FUSIONAR,BAMBOO,PAO4,2568,ROSADO,26922,2568 09,26914,2568,0,0,0
FUSIONAR,BAMBOO,PAO4,3622,NEGRO,35453,3622,35457,3622 02,0,3,0
FUSIONAR,PASSER,EDEL,032,NEGRO,1364,032-02,1360,032,0,0,0
FUSIONAR,PASSER,EDEL,117,NEGRO,7343,1170,7315,117,0,0,0
FUSIONAR,PASSER,EDEL,117,TOSTADO,7346,1170,7320,117,0,0,0
FUSIONAR,PASSER,EDEL,149,CARAMELO,14532,149-16,14513,149,0,0,0
FUSIONAR,PASSER,EDEL,149,NEGRO,14528,149-02,14518,149,0,0,0
FUSIONAR,PASSER,EDEL,252,CARAMELO,26561,252 13,26558,252 02,0,0,0
FUSIONAR,PASSER,EDEL,307,NEGRO,32003,307-02,31997,307,0,0,0
FUSIONAR,PASSER,EDEL,335,CRUDO,33795,33500,33789,335,0,0,0
FUSIONAR,PASSER,EDEL,418,CAFE,41252,418 03,41249,418,0,0,0
FUSIONAR,PASSER,EDEL,500,NEGRO,45718,5000,45707,500,0,0,0
FUSIONAR,PASSER,EDEL,505,BLANCO,46205,5050,46191,505,0,0,0
FUSIONAR,PASSER,EDEL,605,CAFE,56217,605 03,56199,605,0,0,0
FUSIONAR,PASSER,EDEL,605,CARAMELO,135314,605-16,56218,605 16,0,0,0
FUSIONAR,PASSER,EDEL,605,CARAMELO,135314,605-16,56203,605,0,0,0
FUSIONAR,PASSER,EDEL,605,NEGRO,135310,605-02,56216,605 02,0,0,0
FUSIONAR,PASSER,EDEL,605,NEGRO,135310,605-02,56208,605,0,0,0
FUSIONAR,PASSER,EDEL,607,NEGRO,56283,607 02,56278,607,0,0,0
FUSIONAR,PASSER,EDEL,608,CAFE,56345,608 30,56344,608 03,0,0,0
FUSIONAR,PASSER,EDEL,608,CAFE,56345,608 30,56326,608,0,0,0
FUSIONAR,PASSER,EDEL,608,CARAMELO,56348,608-16,56330,608,0,0,0
FUSIONAR,PASSER,EDEL,608,NEGRO,56346,608-02,56343,608 02,0,0,0
FUSIONAR,PASSER,EDEL,608,NEGRO,56346,608-02,56335,608,0,0,0
FUSIONAR,PASSER,EDEL,610,NEGRO,56428,610 02,56425,610,0,0,0
FUSIONAR,PASSER,EDEL,611,NEGRO,56520,611 02,56517,611,0,0,0
FUSIONAR,PASSER,EDEL,624,CAFE,57163,6240,57155,624,0,0,0
FUSIONAR,PASSER,EDEL,624,NEGRO,57165,6240,57159,624,0,0,0
FUSIONAR,PASSER,EDEL,629,CARAMELO,135321,629-16,57415,629,0,0,0
FUSIONAR,PASSER,EDEL,629,NEGRO,57427,629-02,57420,629,0,0,0
FUSIONAR,PASSER,EDEL,632,CARAMELO,57766,6320,57752,632,0,0,0
FUSIONAR,PASSER,EDEL,632,NEGRO,57771,6320,57756,632,0,0,0
FUSIONAR,PASSER,EDEL,648,CAFE,135326,648-03,58456,648,0,0,0
FUSIONAR,PASSER,EDEL,648,NEGRO,58471,648-02,58465,648,0,0,0
FUSIONAR,PASSER,EDEL,649,CARAMELO,58499,649-16,58489,649,0,0,0
FUSIONAR,PASSER,EDEL,658,CARAMELO,59011,658-16,59001,658,0,0,0
FUSIONAR,PASSER,EDEL,658,NEGRO,135329,658-02,59006,658,0,0,0
FUSIONAR,PASSER,EDEL,667,CHAROL,59666,667-20,59663,667,0,0,0
FUSIONAR,PASSER,EDEL,677,CARAMELO,59954,677-16,59939,677,0,0,0
FUSIONAR,PASSER,EDEL,677,NEGRO,59949,677-02,59944,677,0,0,0
FUSIONAR,PASSER,EDEL,717,CARAMELO,61411,717-16,61398,717,0,0,0
FUSIONAR,PASSER,EDEL,717,NEGRO,61409,717-02,61404,717,0,0,0
FUSIONAR,PASSER,EDEL,756,NEGRO,62731,7560,62710,756,0,0,0
FUSIONAR,PASSER,EDEL,775,CAFE,135363,775-03,63316,775-05,0,0,0
FUSIONAR,PASSER,EDEL,775,CAFE,135363,775-03,63307,775,0,0,0
FUSIONAR,PASSER,EDEL,775,NEGRO,63314,775-02,63309,775,0,0,0
FUSIONAR,PASSER,EDEL,803,BLANCO,64361,803 02,64360,803 01,0,0,0
FUSIONAR,PASSER,EDEL,803,BLANCO,64361,803 02,64358,803,0,0,0
FUSIONAR,PASSER,EDEL,804,BLANCO,64401,804-01,64397,804,0,0,0
FUSIONAR,PASSER,EDEL,812,BLANCO,64995,812-01,64986,812,0,0,0
FUSIONAR,PASSER,EDEL,812,NEGRO,64999,812-02,64989,812,0,0,0
FUSIONAR,PASSER,EDEL,840,BLANCO,67025,8400,67016,840,0,0,0
FUSIONAR,PASSER,EDEL,907,CAFE,71153,907 03,71143,907,0,0,0
FUSIONAR,PASSER,EDEL,907,NEGRO,71152,907 02,71147,907,0,0,0
FUSIONAR,PASSER,EDEL,908,CAFE,71198,908 08,71185,908,0,0,0
FUSIONAR,PASSER,EDEL,914,CAFE,71545,914 08,71531,914,0,0,0
FUSIONAR,PASSER,EDEL,914,NEGRO,71542,914 02,71538,914,0,0,0
FUSIONAR,PASSER,EDEL,915,NEGRO,71574,915-02,71570,915,0,0,0
FUSIONAR,PASSER,EDEL,921,CAFE,71754,921-03,71737,921,0,0,0
FUSIONAR,PASSER,EDEL,921,NEGRO,71752,921-02,71747,921,0,0,0
FUSIONAR,PASSER,PAO1,149,CARAMELO,14533,149-16,14514,149,0,6,0
FUSIONAR,PASSER,PAO1,252,CARAMELO,26562,252 13,26559,252 02,0,0,0
FUSIONAR,PASSER,PAO1,605,CARAMELO,135315,605-16,56204,605,0,10,0
FUSIONAR,PASSER,PAO1,605,NEGRO,135311,605-02,56209,605,0,12,0
FUSIONAR,PASSER,PAO1,632,CARAMELO,57767,6320,57753,632,0,5,0
FUSIONAR,PASSER,PAO1,658,NEGRO,135330,658-02,59007,658,5,6,1
FUSIONAR,PASSER,PAO1,775,CAFE,135364,775-03,63317,775-05,0,6,0
FUSIONAR,PASSER,PAO1,775,NEGRO,135361,775-02,63310,775,0,8,0
FUSIONAR,PASSER,PAO1,908,CAFE,71186,908,71199,908 08,0,0,0
FUSIONAR,PASSER,PAO1,915,NEGRO,71575,915-02,71571,915,0,0,0
FUSIONAR,PASSER,PAO1,921,CAFE,71755,921-03,71738,921,0,0,0
FUSIONAR,PASSER,PAO1,921,NEGRO,137743,921-02,71748,921,0,3,0
FUSIONAR,PASSER,PAO2,032,NEGRO,1365,032-02,1361,032,0,6,1
FUSIONAR,PASSER,PAO2,149,CARAMELO,14534,149-16,14515,149,0,10,0
FUSIONAR,PASSER,PAO2,149,NEGRO,14529,149-02,14520,149,0,5,0
FUSIONAR,PASSER,PAO2,629,CARAMELO,135322,629-16,57417,629,0,7,0
FUSIONAR,PASSER,PAO2,629,NEGRO,57428,629-02,57423,629,0,11,0
FUSIONAR,PASSER,PAO2,632,NEGRO,57772,6320,57758,632,0,3,0
FUSIONAR,PASSER,PAO2,648,CAFE,135327,648-03,58458,648,0,4,0
FUSIONAR,PASSER,PAO2,648,NEGRO,135325,648-02,58467,648,0,1,0
FUSIONAR,PASSER,PAO2,658,NEGRO,135331,658-02,59008,658,0,3,0
FUSIONAR,PASSER,PAO2,677,NEGRO,135335,677-02,59946,677,1,9,0
FUSIONAR,PASSER,PAO2,717,CARAMELO,135340,717-16,61400,717,2,5,1
FUSIONAR,PASSER,PAO2,717,NEGRO,135338,717-02,61406,717,0,4,0
FUSIONAR,PASSER,PAO2,756,NEGRO,62732,7560,62711,756,3,2,0
FUSIONAR,PASSER,PAO2,812,NEGRO,65000,812-02,64991,812,0,0,0
FUSIONAR,PASSER,PAO2,840,BLANCO,67026,8400,67017,840,0,0,0
FUSIONAR,PASSER,PAO2,921,NEGRO,135424,921-02,71749,921,1,2,0
FUSIONAR,PASSER,PAO3,117,NEGRO,7344,1170,7318,117,0,2,0
FUSIONAR,PASSER,PAO3,117,TOSTADO,7347,1170,7321,117,0,1,0
FUSIONAR,PASSER,PAO3,149,CARAMELO,14535,149-16,14516,149,0,4,0
FUSIONAR,PASSER,PAO3,149,NEGRO,14530,149-02,14521,149,2,6,1
FUSIONAR,PASSER,PAO3,252,CARAMELO,26563,252 13,26560,252 02,0,0,0
FUSIONAR,PASSER,PAO3,307,NEGRO,32005,307-02,31998,307,2,8,0
FUSIONAR,PASSER,PAO3,505,BLANCO,46206,5050,46192,505,0,0,0
FUSIONAR,PASSER,PAO3,605,CARAMELO,135316,605-16,56206,605,0,11,1
FUSIONAR,PASSER,PAO3,605,NEGRO,135312,605-02,56211,605,1,10,0
FUSIONAR,PASSER,PAO3,608,CARAMELO,56349,608-16,56333,608,2,1,1
FUSIONAR,PASSER,PAO3,632,CARAMELO,57769,6320,57754,632,0,4,0
FUSIONAR,PASSER,PAO3,632,NEGRO,57773,6320,57759,632,0,2,0
FUSIONAR,PASSER,PAO3,648,CAFE,135328,648-03,58459,648,0,5,0
FUSIONAR,PASSER,PAO3,648,NEGRO,58472,648-02,58468,648,0,6,0
FUSIONAR,PASSER,PAO3,649,CARAMELO,58500,649-16,58492,649,0,1,0
FUSIONAR,PASSER,PAO3,658,CARAMELO,59012,658-16,59004,658,0,0,0
FUSIONAR,PASSER,PAO3,677,CARAMELO,59955,677-16,59942,677,1,5,1
FUSIONAR,PASSER,PAO3,677,NEGRO,59950,677-02,59947,677,0,5,1
FUSIONAR,PASSER,PAO3,717,CARAMELO,61401,717,61412,717-16,5,5,3
FUSIONAR,PASSER,PAO3,717,NEGRO,61410,717-02,61407,717,1,13,4
FUSIONAR,PASSER,PAO3,775,CAFE,135365,775-03,63318,775-05,0,3,0
FUSIONAR,PASSER,PAO3,775,NEGRO,63315,775-02,63312,775,0,6,0
FUSIONAR,PASSER,PAO3,812,BLANCO,64997,812-01,64987,812,7,2,1
FUSIONAR,PASSER,PAO3,812,NEGRO,65001,812-02,64992,812,8,2,0
FUSIONAR,PASSER,PAO3,921,CAFE,71756,921-03,71740,921,0,2,0
FUSIONAR,PASSER,PAO3,921,NEGRO,135425,921-02,71750,921,0,10,0
FUSIONAR,PASSER,PAO4,117,NEGRO,7345,1170,7319,117,0,1,0
FUSIONAR,PASSER,PAO4,149,NEGRO,14531,149-02,14522,149,0,4,0
FUSIONAR,PASSER,PAO4,307,NEGRO,32006,307-02,31999,307,0,3,0
FUSIONAR,PASSER,PAO4,605,CARAMELO,135317,605-16,56207,605,0,6,0
FUSIONAR,PASSER,PAO4,605,NEGRO,135313,605-02,56212,605,0,8,0
FUSIONAR,PASSER,PAO4,608,CARAMELO,56350,608-16,56334,608,0,5,0
FUSIONAR,PASSER,PAO4,608,NEGRO,56347,608-02,56339,608,0,6,0
FUSIONAR,PASSER,PAO4,624,CAFE,57164,6240,57158,624,0,0,0
FUSIONAR,PASSER,PAO4,629,CARAMELO,135323,629-16,57419,629,0,14,0
