base,partida,fichas,codigos,marcas,stock,ventas2026,tallas,precios,lista_codigos,lista_marcas,descripcion
3054,SI,43,6,2,536,90,13-41,19990 / 21990 / 24990,"3054, 3054-01/1, 3054-01/2, 3054-02, 30540, 305400","ALQUIMIA(22), UNISPORT(21)",ZAPATO CUECA
3073,SI,38,4,2,458,30,13-40,19990 / 21990 / 22990 / 24990,"3073, 3073-02, 307300, 3073000","UNISPORT(24), ALQUIMIA(14)",CUECA TAREA 34/41
3334,SI,37,4,2,277,138,35-41,24990,"3334, 3334-01, 3334-02, 3334-20","ALQUIMIA(25), UNISPORT(12)",CUECA
2918,SI,19,1,3,264,17,0-38,34990,2918,"UNISPORT(9), ALQUIMIA(5), BACARAS(5)",BOTA CUECA
9700,SI,20,2,3,143,28,39-44,39990,"9700, 9700-02","ALQUIMIA(10), BACARAS(5), UNISPORT(5)",BOTA CUECA
2026,no,5,1,1,109,18,18-29,19990,2026-02,BAMBOO(5),ZAPATO CUECA 18-25
2334,no,5,1,1,64,10,30-34,24990,2334-20,ALQUIMIA(5),ZAPATO CUECA
A6,no,10,1,1,60,2,24-41,19990 / 21990,A6,THUNDER BLUE(10),CUECA
A6-1,no,6,1,1,44,4,36-41,19990 / 21990,A6-1,THUNDER BLUE(6),CUECA
109,SI,12,3,1,32,6,35-41,21990,"109-A, 109-B, 109-C",ARMONIA(12),CUECA
384,SI,10,2,1,29,29,35-40,24990,"384-0141, 384-2409",BONNY FRANCO(10),ZAPATO RICHATO CUECA
1800,SI,9,1,2,19,2,20-25,19990,1800,"UNISPORT(5), BACARAS(4)",BOTIN HUASO
106,no,5,1,1,15,7,40-46,29990,106-E,ARMONIA(5),CUECA
3368,SI,11,2,2,13,1,35-40,24990,"3368, 3368-20","UNISPORT(8), ALQUIMIA(3)",CUECA TAREA 35/40
JL7110,no,9,1,1,11,0,26-39,9990 / 14990 / 16990,JL7110,TEAM(9),CUECA
0233,SI,10,5,1,10,0,20-33,12990 / 14990,"0233A-10B, 0233A-CHA, 0233A-CHB, 0233D-10, 0233D-CH",BY PASS(10),CUECA
FAJ2000,no,2,1,1,9,0,0-0,4990,FAJ2000,LA ORIENTAL(2),FAJA HUASO INF
A8,no,5,1,1,6,1,40-44,39990,A8,ALQUIMIA(5),HUASO
3369,SI,9,2,2,5,3,35-40,24990,"3369, 3369-02","UNISPORT(5), ALQUIMIA(4)",CUECA TAREA 35/40
A8-1,no,4,1,1,5,4,35-40,29990,A8-1,ALQUIMIA(4),HUASO
112,no,5,1,1,3,0,35-41,21990,112-B,ARMONIA(5),CUECA
PAN3054B,no,2,1,1,3,0,0-0,16990,PAN3054B,LA ORIENTAL(2),PANTALON CASIMIR HUASO
3050,no,5,1,1,1,0,35-40,21990,3050,ALQUIMIA(5),CUECA
490,no,3,1,1,1,0,26-34,19990,490,UNISPORT(3),BOTA HUASO 34/38
9702,no,3,1,1,1,0,39-44,34990,9702,BACARAS(3),BOTA CUECA
FAJ2002,no,2,1,1,1,0,0-0,7990,FAJ2002,LA ORIENTAL(2),FAJA DE HUASO ADULTO
RC12719N,no,3,1,1,1,0,39-44,24990,RC12719N,EURO VIA(3),HUASO
XHW2111-1,no,3,1,1,1,0,34-40,16990,XHW2111-1,BY PASS(3),CUECA
YW0233D,no,7,1,1,1,0,20-25,12990,YW0233D,BY PASS(7),CUECA
1,no,1,1,1,0,0,0-0,18990,1,PAOLA(1),PANTALON HUASO T10/16
1034,no,1,1,1,0,0,20-25,12990,1034,ALQUIMIA(1),CUECA
1036,no,1,1,1,0,0,20-21,12990,1036,ALQUIMIA(1),CUECA
1100,no,1,1,1,0,0,0-0,19990,1100,SERCO(1),CUECA
12-532,no,2,1,1,0,0,38-44,29990,12-532,CAMPING(2),BOTA HUASO
1221,no,2,1,1,0,0,39-44,29990,1221,MISS COLOMBIA(2),HUASO HOMBRE
1222,no,2,1,1,0,0,36-38,22990,1222,MISS COLOMBIA(2),HUASO NIÃ‘O
1224,no,1,1,1,0,0,26-30,19990,1224,MISS COLOMBIA(1),HUASO NIÑO
1225,no,1,1,1,0,0,22-25,19990,1225,MISS COLOMBIA(1),HUASO NIÑO
1290,no,1,1,1,0,0,26-34,27990,1290,PAOLA(1),BOTA HUASO 30/33
152,SI,6,3,1,0,0,34-40,23990 / 25990 / 32990,"152, 152-B, 152-C",DGACY(6),REINA CUECA
157,no,2,1,1,0,0,34-40,32990,157,DGACY(2),REINA CUECA
1900,no,1,1,1,0,0,34-34,43990,1900,PAOLA(1),BOTA HUASO PETATE
1V-2111,no,1,1,1,0,0,34-40,16990,1V-2111,BY PASS(1),CUECA
1V-2121,no,4,1,1,0,0,26-33,14990,1V-2121,BY PASS(4),CUECA
2023,no,2,1,1,0,0,36-41,24990,2023,THUNDER BLUE(2),CUECA
2045,no,3,1,1,0,0,18-25,12990,2045,BACARAS(3),CUECA
210,no,2,1,1,0,0,30-33,19990,210,DGACY(2),REINA CUECA
2111,SI,2,2,1,0,0,34-40,17990,"2111-1, 2111-CH",BY PASS(2),CUECA
2503,no,1,1,1,0,0,0-0,4990,2503,SERCO(1),FAJA HUASO INF
2519,no,1,1,1,0,0,34-34,57990,2519,GINO(1),BOTA HUASO 16 HRS
2532,no,1,1,1,0,0,34-34,41990,2532,CAMPING(1),BOTIN HUASO
2902,no,1,1,1,0,0,0-0,22990,2902,SERCO(1),CHAQUETA HUASO T/12
3051,no,1,1,1,0,0,-,25990,3051,SERCO(1),CHAQUETA HUASO T40/50
3367,no,7,1,1,0,0,35-40,19990,3367,ALQUIMIA(7),CUECA
3376,no,4,1,1,0,0,35-40,24990,3376,UNISPORT(4),CUECA MUJER
401,no,1,1,1,0,0,34-34,5990,401,SERCO(1),BOTA HUASO 39/43
403,no,1,1,1,0,0,34-34,39990,403,SERCO(1),BOTA HUASO 39/43
5002,no,1,1,1,0,0,-,19990,5002,SERCO(1),CHAQUETA HUASO T4
52,no,3,1,1,0,0,0-0,29990,52,SERCO(3),BOTIN HUASO
5200,no,1,1,1,0,0,0-0,13990,5200,SERCO(1),CINTURON HUASO CUERO
532,no,1,1,1,0,0,34-34,49990,532,CAMPING(1),BOTA HUASO
5555,no,2,1,1,0,0,0-0,34990,5555,HIPLIO(2),HUASO PETATE
5990,no,1,1,1,0,0,0-0,13990,5990,PAOLA(1),VESTIR CUECA 28/34
64,no,1,1,1,0,0,34-39,25990,64,SERCO(1),ZAPATO CUECA
6490,no,1,1,1,0,0,0-0,15990,6490,PAOLA(1),VESTIR CUECA 35/40
7005,no,1,1,1,0,0,35-40,24990,7005-141,SIR THOMAS(1),CUECA MODARE
81711,SI,5,2,1,0,0,20-25,12990,"81711-1, 81711-10",BY PASS(5),CUECA
9000,no,1,1,1,0,0,22-25,12990,9000,MISS COLOMBIA(1),HUASO CHAROL
9001,no,1,1,1,0,0,26-30,14990,9001,MISS COLOMBIA(1),HUASO CHAROL
9002,no,1,1,1,0,0,26-33,16990,9002,MISS COLOMBIA(1),HUASO PU
9003,no,1,1,1,0,0,34-40,16990,9003,MISS COLOMBIA(1),HUASO PU
9703,no,1,1,1,0,0,39-44,34990,9703,BACARAS(1),BOTA HUASO
97030,no,1,1,1,0,0,39-44,35990,97030000,UNISPORT(1),BOTA HUASO
A30-11-90B,no,1,1,1,0,0,35-40,24990,A30-11-90B,NEW WALK(1),ZAPATOS DE CUECA
CHA3050B,no,1,1,1,0,0,0-0,24990,CHA3050B,LA ORIENTAL(1),CHAQUETA CASIMIR HUASO
CHA3050C,no,1,1,1,0,0,0-0,22990,CHA3050C,LA ORIENTAL(1),CHAQUETA CASIMIR HUASO
CHA3050D,no,1,1,1,0,0,0-0,22990,CHA3050D,LA ORIENTAL(1),CHAQUETA CASIMIR HUASO
CHA3050E,no,1,1,1,0,0,0-0,28990,CHA3050E,LA ORIENTAL(1),CHAQUETA CASIMIR HUASO
CHA3050F,no,1,1,1,0,0,0-0,29990,CHA3050F,LA ORIENTAL(1),CHAQUETA CASIMIR HUASO
CHA3055E42,no,1,1,1,0,0,0-0,26990,CHA3055E42,LA ORIENTAL(1),CHAQUETA CASIMIR HUASO
CIN2500E,no,2,1,1,0,0,0-0,12990,CIN2500E,LA ORIENTAL(2),CINTURON HUASO FANTASI
CIN2503E,no,1,1,1,0,0,0-0,13990,CIN2503E,LA ORIENTAL(1),CINTURON HUASO FANTASI
FAJ2001,no,2,1,1,0,0,0-0,4990 / 5990,FAJ2001,LA ORIENTAL(2),FAJA HUASO
JJT1,no,1,1,1,0,0,35-40,14990,JJT1,TEAM(1),CUECA
LJB91401,no,2,1,1,0,0,0-0,14990,LJB91401,SUANG(2),HUASO
LJB91402,no,1,1,1,0,0,0-0,16990,LJB91402,SUANG(1),HUASO
LJB91403,no,2,1,1,0,0,0-0,17990,LJB91403,SUANG(2),HUASO
MAN2003,no,1,1,1,0,0,0-0,16990,MAN2003,LA ORIENTAL(1),MANTA HUASO
MAN2004,no,1,1,1,0,0,0-0,19990,MAN2004,LA ORIENTAL(1),MANTA HUASO
PAN3054A,no,1,1,1,0,0,0-0,10990,PAN3054A,LA ORIENTAL(1),PANTALON CASIMIR HUASO
PAN3054C,no,2,1,1,0,0,0-0,19990,PAN3054C,LA ORIENTAL(2),PANTALON CASIMIR HUASO
PAN3054D,no,1,1,1,0,0,0-0,18990,PAN3054D,LA ORIENTAL(1),PANTALON CASIMIR HUASO
RC-6322,no,2,1,1,0,0,0-0,16990,RC-6322,SUANG(2),BOTA HUASO
RC-6323,no,2,1,1,0,0,0-0,14990,RC-6323,SUANG(2),BOTA HUASO
RC-6324,no,2,1,1,0,0,0-0,19990,RC-6324,SUANG(2),BOTA HUASO
RC12711N,no,1,1,1,0,0,35-40,16990,RC12711N,EURO VIA(1),HUASO
RC12712B,no,1,1,1,0,0,30-34,14990,RC12712B,EURO VIA(1),HUASO
RC12712BB,no,1,1,1,0,0,25-29,12990,RC12712BB,EURO VIA(1),HUASO
RC12712BN,no,1,1,1,0,0,25-29,12990,RC12712BN,EURO VIA(1),HUASO
RC12712N,no,1,1,1,0,0,30-34,14990,RC12712N,EURO VIA(1),HUASO
RC12713B,no,2,1,1,0,0,25-29,12990,RC12713B,EURO VIA(2),HUASO
RC12713N,no,1,1,1,0,0,25-25,12990,RC12713N,EURO VIA(1),HUASO
RC15733N,no,1,1,1,0,0,35-40,17990,RC15733N,EURO VIA(1),HUASO
RC15735N,no,1,1,1,0,0,30-34,14990,RC15735N,EURO VIA(1),HUASO
RC15736N,no,1,1,1,0,0,25-29,12990,RC15736N,EURO VIA(1),HUASO
SOM2030B,no,1,1,1,0,0,0-0,22990,SOM2030B,LA ORIENTAL(1),SOMBREO HUASO PAÃ‘O
ST00,no,3,1,1,0,0,22-25,12990,ST00,STYLO(3),CUECA
ST01,no,3,1,1,0,0,26-30,14990,ST01,STYLO(3),CUECA
ST02,no,2,1,1,0,0,31-35,14990,ST02,STYLO(2),CUECA
ST03,no,3,1,1,0,0,36-40,17990,ST03,STYLO(3),CUECA
XHW2111-10,no,1,1,1,0,0,34-40,16990,XHW2111-10,BY PASS(1),CUECA
YW0233A,no,5,1,1,0,0,26-33,14990,YW0233A,BY PASS(5),CUECA
