dte_id,folio,tipo,sucursal_id,fecha_emision,old_neto,old_con_iva,old_unidades,new_neto,new_con_iva,new_unidades,unidades_tocadas,fuente,cross_check,ncs_vinculadas,deficit,nota_unidades
832608,351552,BOLETA ELECTRONICA,5,2026-02-04,0,0,0,14277,16990,1,1,SUM_MONTO_ITEM,PAGOS,2186696,16990,derivado de monto_item/precio (stock+NC daba 0)
837407,411041,BOLETA ELECTRONICA,2,2026-02-27,0,0,0,16798,19990,1,1,SUM_MONTO_ITEM,PAGOS,2186016,19990,derivado de monto_item/precio (stock+NC daba 0)
897703,373711,BOLETA ELECTRONICA,3,2026-03-26,690.00,821.00,1,31664,37680,2,1,SUM_MONTO_ITEM,PAGOS,2187701,36859,derivado de monto_item/precio (stock+NC daba 1)
900401,373813,BOLETA ELECTRONICA,3,2026-03-31,0,0,0,54613,64990,1,1,SUM_MONTO_ITEM,PAGOS,2186523,64990,derivado de monto_item/precio (stock+NC daba 0)
900971,369610,BOLETA ELECTRONICA,4,2026-04-04,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS,2186650,29990,derivado de monto_item/precio (stock+NC daba 0)
1165764,6420,FACTURA ELECTRONICA,7,2026-04-09,0,0,0,134832,160450,5,1,SUM_MONTO_ITEM,PAGOS,2186018,160450,derivado de monto_item/precio (stock+NC daba 0)
1167059,374173,BOLETA ELECTRONICA,3,2026-04-11,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS,2186273,39990,derivado de monto_item/precio (stock+NC daba 0)
1167158,281907,BOLETA ELECTRONICA,7,2026-04-13,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS,2186734,39990,derivado de monto_item/precio (stock+NC daba 0)
2178251,369830,BOLETA ELECTRONICA,4,2026-04-17,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186671,29990,derivado de monto_item/precio (stock+NC daba 0)
2178254,369831,BOLETA ELECTRONICA,4,2026-04-17,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186666,29990,derivado de monto_item/precio (stock+NC daba 0)
2178334,256642,BOLETA ELECTRONICA,6,2026-04-18,0,0,0,37807,44990,0,0,SUM_MONTO_ITEM,"PAGOS (ticket difiere $+5,000)",2186712,44990,no reconstruible (sin derivación por precio y stock+NC<=0)
2178959,282337,BOLETA ELECTRONICA,7,2026-04-22,990.00,1178.00,1,105866,125980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186723,124802,derivado de monto_item/precio (stock+NC daba 1)
2179142,353728,BOLETA ELECTRONICA,5,2026-04-23,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186694,29990,derivado de monto_item/precio (stock+NC daba 0)
2179307,369945,BOLETA ELECTRONICA,4,2026-04-24,0,0,0,47050,55990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186658,55990,derivado de monto_item/precio (stock+NC daba 0)
2179380,374482,BOLETA ELECTRONICA,3,2026-04-24,0,0,0,29395,34980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186526,34980,derivado de monto_item/precio (stock+NC daba 0)
2179674,282496,BOLETA ELECTRONICA,7,2026-04-25,17980.00,21396.00,2,28538,33960,4,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186743,12564,derivado de monto_item/precio (stock+NC daba 2)
2180084,411645,BOLETA ELECTRONICA,2,2026-04-27,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186515,29990,derivado de monto_item/precio (stock+NC daba 0)
2180089,374553,BOLETA ELECTRONICA,3,2026-04-27,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186524,39990,derivado de monto_item/precio (stock+NC daba 0)
2180099,369999,BOLETA ELECTRONICA,4,2026-04-27,0,0,0,30244,35990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186657,35990,derivado de monto_item/precio (stock+NC daba 0)
2180120,282576,BOLETA ELECTRONICA,7,2026-04-27,0,0,0,19319,22990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186744,22990,derivado de monto_item/precio (stock+NC daba 0)
2180250,256806,BOLETA ELECTRONICA,6,2026-04-28,0,0,0,52924,62980,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186711,62980,derivado de monto_item/precio (stock+NC daba 0)
2180252,256808,BOLETA ELECTRONICA,6,2026-04-28,0,0,0,31084,36990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186707,36990,derivado de monto_item/precio (stock+NC daba 0)
2180397,256828,BOLETA ELECTRONICA,6,2026-04-29,0,0,0,58815,69990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186706,69990,derivado de monto_item/precio (stock+NC daba 0)
2180477,450045,BOLETA ELECTRONICA,4,2026-04-29,0,0,0,31924,37990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186649,37990,derivado de monto_item/precio (stock+NC daba 0)
2180856,374660,BOLETA ELECTRONICA,3,2026-05-02,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186516,39990,derivado de monto_item/precio (stock+NC daba 0)
2180880,256901,BOLETA ELECTRONICA,6,2026-05-02,0,0,0,67218,79990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186719,79990,derivado de monto_item/precio (stock+NC daba 0)
2181206,353943,BOLETA ELECTRONICA,5,2026-05-04,0,0,0,52092,61990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186698,61990,derivado de monto_item/precio (stock+NC daba 0)
2181210,353946,BOLETA ELECTRONICA,5,2026-05-04,0,0,0,71687,85308,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186691,85308,derivado de monto_item/precio (stock+NC daba 0)
2181297,282903,BOLETA ELECTRONICA,7,2026-05-04,0,0,0,32756,38980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188843,38980,derivado de monto_item/precio (stock+NC daba 0)
2181500,256976,BOLETA ELECTRONICA,6,2026-05-06,0,0,0,47050,55990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186715,55990,derivado de monto_item/precio (stock+NC daba 0)
2181501,256977,BOLETA ELECTRONICA,6,2026-05-06,0,0,0,61336,72990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186718,72990,derivado de monto_item/precio (stock+NC daba 0)
2181503,256979,BOLETA ELECTRONICA,6,2026-05-06,0,0,0,67218,79990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186717,79990,derivado de monto_item/precio (stock+NC daba 0)
2181549,282989,BOLETA ELECTRONICA,7,2026-05-06,0,0,0,112588,133980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186732,133980,derivado de monto_item/precio (stock+NC daba 0)
2181673,256998,BOLETA ELECTRONICA,6,2026-05-07,0,0,0,67202,79970,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188830,79970,derivado de monto_item/precio (stock+NC daba 0)
2181677,354015,BOLETA ELECTRONICA,5,2026-05-07,0,0,0,21840,25990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188860,25990,derivado de monto_item/precio (stock+NC daba 0)
2181729,283023,BOLETA ELECTRONICA,7,2026-05-07,0,0,0,47891,56990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186738,56990,derivado de monto_item/precio (stock+NC daba 0)
2181864,257025,BOLETA ELECTRONICA,6,2026-05-08,0,0,0,61336,72990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186709,72990,derivado de monto_item/precio (stock+NC daba 0)
2181865,257026,BOLETA ELECTRONICA,6,2026-05-08,0,0,0,47050,55990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186710,55990,derivado de monto_item/precio (stock+NC daba 0)
2182113,374861,BOLETA ELECTRONICA,3,2026-05-09,0,0,0,23521,27990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186522,27990,derivado de monto_item/precio (stock+NC daba 0)
2182114,374862,BOLETA ELECTRONICA,3,2026-05-09,0,0,0,19311,22980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186532,22980,derivado de monto_item/precio (stock+NC daba 0)
2182125,354102,BOLETA ELECTRONICA,5,2026-05-09,0,0,0,36126,42990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188857,42990,derivado de monto_item/precio (stock+NC daba 0)
2182580,283228,BOLETA ELECTRONICA,7,2026-05-11,0,0,0,71412,84980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186733,84980,derivado de monto_item/precio (stock+NC daba 0)
2182588,450354,BOLETA ELECTRONICA,4,2026-05-11,0,0,0,16798,19990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186663,19990,derivado de monto_item/precio (stock+NC daba 0)
2182889,257174,BOLETA ELECTRONICA,6,2026-05-13,0,0,0,41168,48990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191315,48990,derivado de monto_item/precio (stock+NC daba 0)
2182896,354236,BOLETA ELECTRONICA,5,2026-05-13,0,0,0,44529,52990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186692,52990,derivado de monto_item/precio (stock+NC daba 0)
2182943,283299,BOLETA ELECTRONICA,7,2026-05-13,0,0,0,63605,75690,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186735,75690,derivado de monto_item/precio (stock+NC daba 0)
2183057,354256,BOLETA ELECTRONICA,5,2026-05-14,0,0,0,16798,19990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188861,19990,derivado de monto_item/precio (stock+NC daba 0)
2183064,283325,BOLETA ELECTRONICA,7,2026-05-14,0,0,0,40319,47980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186737,47980,derivado de monto_item/precio (stock+NC daba 0)
2183068,283328,BOLETA ELECTRONICA,7,2026-05-14,0,0,0,19319,22990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186736,22990,derivado de monto_item/precio (stock+NC daba 0)
2183230,450437,BOLETA ELECTRONICA,4,2026-05-15,0,0,0,47891,56990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186660,56990,derivado de monto_item/precio (stock+NC daba 0)
2183462,283428,BOLETA ELECTRONICA,7,2026-05-16,0,0,0,61336,72990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186730,72990,derivado de monto_item/precio (stock+NC daba 0)
2183463,283429,BOLETA ELECTRONICA,7,2026-05-16,0,0,0,54605,64980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188841,64980,derivado de monto_item/precio (stock+NC daba 0)
2183504,6457,FACTURA ELECTRONICA,7,2026-05-16,0,0,0,430252,512000,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2185483,512000,derivado de monto_item/precio (stock+NC daba 0)
2183740,283524,BOLETA ELECTRONICA,7,2026-05-18,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188852,39990,derivado de monto_item/precio (stock+NC daba 0)
2183743,450522,BOLETA ELECTRONICA,4,2026-05-18,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191323,39990,derivado de monto_item/precio (stock+NC daba 0)
2183745,411902,BOLETA ELECTRONICA,2,2026-05-18,0,0,0,21840,25990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188881,25990,derivado de monto_item/precio (stock+NC daba 0)
2183785,257270,BOLETA ELECTRONICA,6,2026-05-18,0,0,0,47891,56990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186708,56990,derivado de monto_item/precio (stock+NC daba 0)
2183899,354383,BOLETA ELECTRONICA,5,2026-05-19,0,0,0,39487,46990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188859,46990,derivado de monto_item/precio (stock+NC daba 0)
2183950,450553,BOLETA ELECTRONICA,4,2026-05-19,0,0,0,32765,38990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188863,38990,no reconstruible (sin derivación por precio y stock+NC<=0)
2183951,450554,BOLETA ELECTRONICA,4,2026-05-19,0,0,0,30244,35990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186510,35990,derivado de monto_item/precio (stock+NC daba 0)
2184006,375164,BOLETA ELECTRONICA,3,2026-05-19,0,0,0,29403,34990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186275,34990,derivado de monto_item/precio (stock+NC daba 0)
2184734,257369,BOLETA ELECTRONICA,6,2026-05-25,0,0,0,56294,66990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188824,66990,derivado de monto_item/precio (stock+NC daba 0)
2184735,257370,BOLETA ELECTRONICA,6,2026-05-25,0,0,0,73933,87980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188835,87980,derivado de monto_item/precio (stock+NC daba 0)
2184766,450659,BOLETA ELECTRONICA,4,2026-05-25,0,0,0,54613,64990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188868,64990,derivado de monto_item/precio (stock+NC daba 0)
2184768,450660,BOLETA ELECTRONICA,4,2026-05-25,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188867,29990,derivado de monto_item/precio (stock+NC daba 0)
2184782,375275,BOLETA ELECTRONICA,3,2026-05-25,0,0,0,25202,29990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188873,29990,derivado de monto_item/precio (stock+NC daba 0)
2184824,411983,BOLETA ELECTRONICA,2,2026-05-25,0,0,0,16798,19990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188882,19990,derivado de monto_item/precio (stock+NC daba 0)
2185046,283879,BOLETA ELECTRONICA,7,2026-05-27,0,0,0,26882,31990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188847,31990,no reconstruible (sin derivación por precio y stock+NC<=0)
2185096,257407,BOLETA ELECTRONICA,6,2026-05-27,0,0,0,60496,71990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188827,71990,derivado de monto_item/precio (stock+NC daba 0)
2185867,257507,BOLETA ELECTRONICA,6,2026-06-01,0,0,0,56294,66990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188833,66990,derivado de monto_item/precio (stock+NC daba 0)
2185880,354704,BOLETA ELECTRONICA,5,2026-06-01,0,0,0,16798,19990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188862,19990,no reconstruible (sin derivación por precio y stock+NC<=0)
2185886,284119,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,44109,52490,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2191305,52490,no reconstruible (sin derivación por precio y stock+NC<=0)
2185889,284122,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,82336,97980,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188838,97980,no reconstruible (sin derivación por precio y stock+NC<=0)
2185894,284127,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,136958,162980,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2192318,162980,no reconstruible (sin derivación por precio y stock+NC<=0)
2185900,284132,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,9227,10980,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188842,10980,no reconstruible (sin derivación por precio y stock+NC<=0)
2185909,450817,BOLETA ELECTRONICA,4,2026-06-01,0,0,0,46210,54990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2191328,54990,no reconstruible (sin derivación por precio y stock+NC<=0)
2185910,450818,BOLETA ELECTRONICA,4,2026-06-01,0,0,0,16798,19990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188866,19990,derivado de monto_item/precio (stock+NC daba 0)
2185915,375464,BOLETA ELECTRONICA,3,2026-06-01,0,0,0,36966,43990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188874,43990,no reconstruible (sin derivación por precio y stock+NC<=0)
2185930,257517,BOLETA ELECTRONICA,6,2026-06-01,0,0,0,64689,76980,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188829,76980,no reconstruible (sin derivación por precio y stock+NC<=0)
2185933,284140,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,71420,84990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188850,84990,derivado de monto_item/precio (stock+NC daba 0)
2185935,284142,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,35277,41980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191286,41980,derivado de monto_item/precio (stock+NC daba 0)
2185938,284144,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,77294,91980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191300,91980,derivado de monto_item/precio (stock+NC daba 0)
2185943,284148,BOLETA ELECTRONICA,7,2026-06-01,0,0,0,67218,79990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188848,79990,derivado de monto_item/precio (stock+NC daba 0)
2186058,257540,BOLETA ELECTRONICA,6,2026-06-02,0,0,0,63849,75980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188825,75980,derivado de monto_item/precio (stock+NC daba 0)
2186062,284177,BOLETA ELECTRONICA,7,2026-06-02,0,0,0,19319,22990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188851,22990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186070,354722,BOLETA ELECTRONICA,5,2026-06-02,0,0,0,63017,74990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188919,74990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186074,354724,BOLETA ELECTRONICA,5,2026-06-02,0,0,0,54613,64990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2191338,64990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186097,354734,BOLETA ELECTRONICA,5,2026-06-02,0,0,0,15118,17990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188854,17990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186100,284194,BOLETA ELECTRONICA,7,2026-06-02,0,0,0,19303,22970,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188846,22970,no reconstruible (sin derivación por precio y stock+NC<=0)
2186143,284208,BOLETA ELECTRONICA,7,2026-06-02,0,0,0,832,990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186207,990,derivado de monto_item/precio (stock+NC daba 0)
2186150,284210,BOLETA ELECTRONICA,7,2026-06-02,0,0,0,832,990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186206,990,derivado de monto_item/precio (stock+NC daba 0)
2186157,450845,BOLETA ELECTRONICA,4,2026-06-02,54990.00,65438.00,1,84017,99980,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191326,34542,"desde stock+NC, sin validación por precio"
2186159,450847,BOLETA ELECTRONICA,4,2026-06-02,0,0,0,63017,74990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188865,74990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186200,284219,BOLETA ELECTRONICA,7,2026-06-02,0,0,0,42008,49990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186204,49990,derivado de monto_item/precio (stock+NC daba 0)
2186218,354755,BOLETA ELECTRONICA,5,2026-06-02,0,0,0,18479,21990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2186690,21990,derivado de monto_item/precio (stock+NC daba 0)
2186234,257556,BOLETA ELECTRONICA,6,2026-06-02,0,0,0,58815,69990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2191306,69990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186239,450867,BOLETA ELECTRONICA,4,2026-06-02,0,0,0,36126,42990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2191327,42990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186253,412075,BOLETA ELECTRONICA,2,2026-06-02,0,0,0,20160,23990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188878,23990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186269,375518,BOLETA ELECTRONICA,3,2026-06-02,0,0,0,27723,32990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188875,32990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186317,284259,BOLETA ELECTRONICA,7,2026-06-03,0,0,0,58815,69990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188840,69990,derivado de monto_item/precio (stock+NC daba 0)
2186324,354767,BOLETA ELECTRONICA,5,2026-06-03,0,0,0,23521,27990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188856,27990,derivado de monto_item/precio (stock+NC daba 0)
2186349,257571,BOLETA ELECTRONICA,6,2026-06-03,0,0,0,32756,38980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191309,38980,derivado de monto_item/precio (stock+NC daba 0)
2186353,375529,BOLETA ELECTRONICA,3,2026-06-03,0,0,0,16798,19990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188870,19990,derivado de monto_item/precio (stock+NC daba 0)
2186373,354776,BOLETA ELECTRONICA,5,2026-06-03,0,0,0,23521,27990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191339,27990,derivado de monto_item/precio (stock+NC daba 0)
2186375,354777,BOLETA ELECTRONICA,5,2026-06-03,0,0,0,24353,28980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188858,28980,derivado de monto_item/precio (stock+NC daba 0)
2186381,284270,BOLETA ELECTRONICA,7,2026-06-03,0,0,0,33605,39990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188839,39990,derivado de monto_item/precio (stock+NC daba 0)
2186406,412082,BOLETA ELECTRONICA,2,2026-06-03,0,0,0,8395,9990,1,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188880,9990,derivado de monto_item/precio (stock+NC daba 0)
2186427,375546,BOLETA ELECTRONICA,3,2026-06-03,0,0,0,31076,36980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2191342,36980,derivado de monto_item/precio (stock+NC daba 0)
2186433,375551,BOLETA ELECTRONICA,3,2026-06-03,0,0,0,42008,49990,0,0,SUM_MONTO_ITEM,PAGOS+TICKET,2188869,49990,no reconstruible (sin derivación por precio y stock+NC<=0)
2186434,284280,BOLETA ELECTRONICA,7,2026-06-03,0,0,0,20992,24980,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188844,24980,derivado de monto_item/precio (stock+NC daba 0)
2186519,257589,BOLETA ELECTRONICA,6,2026-06-04,0,0,0,45193,53780,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188826,53780,derivado de monto_item/precio (stock+NC daba 0)
2186525,257592,BOLETA ELECTRONICA,6,2026-06-04,0,0,0,35109,41780,2,1,SUM_MONTO_ITEM,PAGOS+TICKET,2188828,41780,derivado de monto_item/precio (stock+NC daba 0)
