style,familia,existe_en_RM,pedido_2027,stock_actual,venta_ttm,venta_90d,veredicto
303654L,GLIDE-STEP +,True,108,8,20,20,cobertura 5m -> REPONER OK (post 70m)
303949L,CONTOUR FOAM,False,96,0,0,0,NOVEDAD -> validar por familia
404203L,GLIDE-STEP PLUS,True,90,25,24,24,SOBRE-STOCK 12m -> RECORTAR (post 58m)
129052,GO RUN CONSISTENT 3,False,90,0,0,0,NOVEDAD -> validar por familia
304013L,GLIDE-STEP +,False,84,0,0,0,NOVEDAD -> validar por familia
190446,UNO GLIDE-STEP LITE,False,75,0,0,0,NOVEDAD -> validar por familia
404842L,SKECH CAGE,False,75,0,0,0,NOVEDAD -> validar por familia
8790360,GENO,False,75,0,0,0,NOVEDAD -> validar por familia
128606,GO RUN CONSISTENT 2.0,True,75,15,104,4,cobertura 2m -> REPONER OK (post 10m)
898072,RESHIFT,False,75,0,0,0,NOVEDAD -> validar por familia
304155L,D'LITES,False,72,0,0,0,NOVEDAD -> validar por familia
117720,BOBS ARCH FIT ELEV8,False,60,0,0,0,NOVEDAD -> validar por familia
117872,BOBS B FLEX HI,False,60,0,0,0,NOVEDAD -> validar por familia
117896,BOBS SQUAD WAVES ELITE,False,60,0,0,0,NOVEDAD -> validar por familia
304214L,SKX AERO SPARK,False,60,0,0,0,NOVEDAD -> validar por familia
221263,GO RUN CONSISTENT 3,False,60,0,0,0,NOVEDAD -> validar por familia
303964L,GO RUN CONSISTENT 2.0,False,48,0,0,0,NOVEDAD -> validar por familia
303557N,WAVE 92,False,48,0,0,0,NOVEDAD -> validar por familia
404127N,MICROSPEC VELOCITY,False,48,0,0,0,NOVEDAD -> validar por familia
217250,GO WALK FLEX PLUS,False,48,0,0,0,NOVEDAD -> validar por familia
117740,BOBS SQUAD 4,False,45,0,0,0,NOVEDAD -> validar por familia
237889,GLIDE-STEP SOLE,False,45,0,0,0,NOVEDAD -> validar por familia
129659,MAX CUSHIONING ENDEAVOUR,False,45,0,0,0,NOVEDAD -> validar por familia
303989L,MAX RUN,False,42,0,0,0,NOVEDAD -> validar por familia
