sku,producto_talla_id,sucursal_id,sucursal_alias,sucursal_nombre,articulo,talla,stock_legacy,stock_lotes,stock_kardex,ajuste_necesario,direccion
4739692,212863,2,PAO1,,4901.106.20304.17013,42,1,2,4,1,AUMENTAR
4739648,209689,2,PAO1,,4802.103.21225.72391,36,1,1,3,0,SIN_CAMBIO
4802130,27135,6,NICK1,,117497-BBK,"36,5",2,2,5,0,SIN_CAMBIO
4812815,362969,6,NICK1,,BOLSA REAL,00,833,533,1640,-300,DISMINUIR
4748351,496130,4,PAO3,,K73,37,2,2,5,0,SIN_CAMBIO
4801509,176997,4,PAO3,,384-0141,38,2,2,5,0,SIN_CAMBIO
4790546,415513,4,PAO3,,ENVIOS,00,872,991,868,119,AUMENTAR
4818359,391579,3,PAO2,,D-MP-494726,00,1,11,13,10,AUMENTAR
4823565,233558,3,PAO2,,551-1946,35,1,1,3,0,SIN_CAMBIO
4801153,253168,3,PAO2,,6.20.02,S,0,1,2,1,AUMENTAR
4818419,89585,3,PAO2,,2.20.07,00,1,5,7,4,AUMENTAR
4790652,362949,3,PAO2,,BOLSA GENERO,00,423,285,933,-138,DISMINUIR
4810747,492079,3,PAO2,,JP5789,"3,5",0,0,1,0,SIN_CAMBIO
4696343,225256,3,PAO2,,5207016102024,00,3,7,13,4,AUMENTAR
4818984,143287,7,NICK2,,3028252-600,"10,5",3,1,5,-2,DISMINUIR
4812815,362970,7,NICK2,,BOLSA REAL,00,672,898,1895,226,AUMENTAR
